"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Dec 20 14:56:16 MSK 2022","Tue Dec 20 14:56:26 MSK 2022","10360","","My Login application","","My Login application","should login with valid credentials","should login with valid credentials",""
"passed","Sun Dec 18 20:21:59 MSK 2022","Sun Dec 18 20:22:04 MSK 2022","5408","","My Login application","","My Login application","should login with valid credentials","should login with valid credentials",""
